plot_key,SI_gada_plot,SI_gada_n,n_species
48.0853_-123.5874,41.8985115900246,35,1
44.1616_-111.3173,20.2594504405881,4,1
39.6416_-109.0183,12.7684502501343,6,1
43.2686_-110.2589,18.7103559009697,2,1
43.6231_-116.0034,21.7059233066433,4,1
43.904_-122.0787,46.2283359176446,6,1
39.2298_-123.4848,35.5143550064229,8,1
43.5978_-122.8767,27.9353254292744,7,1
45.8996_-117.3794,24.8723434310963,12,1
38.6455_-123.2451,35.0228152531357,16,1
42.8478_-124.3288,27.5184621785433,16,1
43.9021_-114.1923,14.5073274411377,2,1
41.1408_-121.6618,20.6826383336435,8,1
38.118_-112.4829,12.7596570984406,8,1
47.7184_-123.4439,32.1929284971471,1,1
46.6472_-121.0298,10.6317271546953,2,1
42.7186_-124.2349,46.5048179267336,15,1
45.6246_-121.7285,17.3028559567377,6,1
40.8966_-122.1574,31.9347418688229,9,1
42.4994_-121.7595,25.7179020242814,7,1
47.9198_-121.8629,38.8026356342662,41,1
36.6314_-106.4054,18.3049076379035,3,2
45.7412_-116.1676,16.6439931748274,4,1
39.5023_-121.1524,31.8302315996216,4,1
45.057_-115.674,23.2663933752458,4,1
43.9307_-122.0751,38.1826130022117,12,1
41.2911_-123.5212,25.0363506057946,16,1
45.7269_-123.4206,44.4561700845383,10,1
44.4273_-112.068,13.4516012133902,6,1
41.874_-124.0621,10.8090793738762,14,1
38.722_-123.3981,30.2426559112931,7,1
47.3808_-120.9006,29.7525595777429,6,1
42.0813_-124.0656,38.3941010466648,9,1
41.0526_-124.092,32.3552082896679,6,1
46.5931_-116.4163,23.309729341406,4,1
38.2217_-105.2348,7.48652767712542,7,1
44.6972_-114.7392,13.8888942036342,2,1
41.1586_-122.1447,19.3113698389487,6,1
47.6577_-108.8683,8.12204308390472,6,1
48.1627_-120.1308,21.1729380819796,9,1
48.3623_-117.6065,24.3743321724141,6,1
45.0381_-122.0317,31.5122702812255,16,1
43.5214_-115.5202,16.318297882953,4,1
44.1242_-124.0928,32.4886191637002,18,1
42.2593_-123.0295,27.385692567752,5,1
46.7086_-121.7151,27.2984747600208,10,1
45.9087_-115.511,20.9625872525788,2,1
46.2477_-123.0991,27.3708833513763,40,1
33.257_-105.6448,16.7250668513047,4,1
41.2957_-122.6864,12.126904751678,6,1
48.2223_-119.0754,22.4671272538111,11,1
46.1197_-121.9717,37.6711095864232,10,1
45.3091_-123.7664,28.2496461813688,50,1
44.8693_-112.9681,9.8285103092092,4,1
48.701_-122.0858,27.2722262437797,20,1
47.9231_-121.7904,22.666312982232,20,1
47.6014_-120.5299,31.9826012595306,15,1
39.099_-107.4862,20.6710791258392,14,2
45.7135_-117.4795,24.2777815785878,8,1
48.6508_-120.2124,21.2111456742464,8,1
41.7848_-124.0666,38.4710564157775,14,1
46.3237_-112.0978,17.2363896796466,15,2
44.4996_-123.9642,38.0192309285283,10,1
42.3294_-122.4009,41.6412637042971,6,1
43.6607_-109.7549,13.606163722837,2,1
44.9748_-119.7665,22.5342407914835,6,1
44.4486_-123.58,42.2795041960152,5,1
45.654_-116.3723,33.5465871671205,1,1
41.062_-122.5913,11.2052765210418,12,1
46.3992_-115.1803,20.819967921865,6,1
46.3871_-121.647,24.6240659741564,9,1
43.6378_-123.9696,45.1626190350585,5,1
47.3415_-115.8056,19.4701515127733,1,1
43.0741_-122.5333,23.7456127063678,5,1
38.1563_-111.8947,12.0337496817107,8,1
44.8566_-123.4495,39.8773062416189,9,1
48.6121_-118.9151,22.5995019058684,12,1
36.5036_-106.229,15.0447567653462,5,1
46.7768_-111.3275,13.4970122551755,4,1
41.098_-124.0243,39.192147819942,11,1
46.283_-122.7477,31.5711403360084,10,1
45.2637_-123.6573,31.0146090988841,22,1
43.6107_-122.4222,39.1465806307782,11,1
48.9222_-121.9999,37.2909864429914,25,1
39.8418_-105.3465,7.29383882620285,2,1
44.954_-119.8799,20.1378543427201,9,1
47.061_-122.111,36.9055481432953,10,1
38.291_-107.057,12.8751272196075,6,1
42.306_-123.1165,25.3440883875135,15,1
47.0313_-124.0233,29.7603457622506,18,1
41.3008_-123.9604,37.5563887048333,10,1
44.5756_-117.7609,27.0868691975927,15,1
45.4792_-115.2972,21.7746345965795,3,1
47.3795_-120.4936,21.1051910107709,6,1
44.0096_-113.3695,16.8870982061373,4,1
43.7105_-122.5887,24.6291603023232,12,1
46.2428_-122.5587,30.4448471990737,15,1
47.2768_-123.5167,30.7880206658603,12,1
46.6373_-122.2848,37.3955737992613,15,1
43.9481_-115.7177,11.3735322663269,4,1
